Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Bank 1,Bank 2,Bank 3,Bank 4,Bank 5,Bank 6,Bank 7,Bank 8,Bank 9,Bank 10,Comment,Tx Narrow,Pager Enable,
38,146.70000,146.10000,600 kHz,Minus,Auto,FFP/C,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,KJ6FFP/C VHF CORRALITOS,Off,Off,
39,146.70000,146.70000, ,Simplex,Auto,FFPCSX,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,KJ6FFP/C VHF SIMPLEX,Off,Off,
40,145.29000,144.69000,600 kHz,Minus,Auto,W6TUW,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,EVENT PORTABLE,Off,Off,
41,145.31000,144.71000,600 kHz,Minus,Auto,W6SLG,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,UCSC,Off,Off,
42,145.35000,144.75000,600 kHz,Minus,Auto,KI6YDR,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,BOULDER CREEK,Off,Off,
43,440.85000,445.85000,5.00 MHz,Plus,Auto,JWS 70,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,W6JWS UHF BIG BASIN,Off,Off,
44,146.76000,146.16000,600 kHz,Minus,Auto,OQS_2M,On,Tone,151.4 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,LOMA PRIETA WB6OQS VHF,Off,Off,
45,146.91000,146.31000,600 kHz,Minus,Auto,W6OPI,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,"MOSS LANDING, MONTEREY BAY",Off,Off,
46,146.94000,146.34000,600 kHz,Minus,Auto,PAU 1,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,KI6PAU -  POINT SUR,Off,Off,
47,147.10500,147.70500,600 kHz,Plus,Auto,PAU 2,On,Tone,94.8 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,KI6PAU - CARMEL VALLEY,Off,Off,
48,147.82500,147.22500,600 kHz,Minus,Auto,W6GGF,On,Tone,100.0 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,LOMA PRIETA,Off,Off,
49,440.10000,445.10000,5.00 MHz,Plus,Auto,W6SMQ,On,Tone,127.3 Hz,023,High,Off,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,MT UMUNHUM,Off,Off,
50,441.90000,446.90000,5.00 MHz,Plus,Auto,W6MOW,On,Tone,110.9 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SALINAS VALLEY REPEATER GROUP - FREMONT PEAK,Off,Off,
51,442.75000,447.75000,5.00 MHz,Plus,Auto,W6DXW7,On,Tone,110.9 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SALINAS VALLEY REPEATER GROUP - EMPIRE GRADE,Off,Off,
52,147.30000,147.90000,600 kHz,Plus,Auto,W6DXW2,On,Tone,94.8 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SALINAS VALLEY REPEATER GROUP - MEADOW LAKES,Off,Off,
53,444.67500,449.67500,5.00 MHz,Plus,Auto,W6HPB,On,Tone,110.9 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,SALINAS VALLEY REPEATER GROUP - PRUNEDALE,Off,Off,
54,442.90000,447.90000,5.00 MHz,Plus,Auto,WINSYS,On,Tone,162.2 Hz,023,High,Skip,Auto,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,WR6ABD UHF N6JSI WINSYSTEM LINKED GROUP,Off,Off,
